estatística,média,mediana,desvio_padrão,consistência
Pontos,10.6,9.0,3.65,Média 🟡
Rebotes,3.8,4.0,1.3,Alta 🟢
Assistências,7.0,8.0,2.35,Média 🟡
Roubos de Bola,1.0,1.0,1.22,Alta 🟢
Tocos,0.8,1.0,0.84,Alta 🟢
Aproveitamento de Arremessos,0.47,0.47,0.07,Alta 🟢
Cestas de 3 pontos,1.2,1.0,1.1,Alta 🟢
Minutos Jogados,28.8,29.0,2.59,Média 🟡
