Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Jimmy Butler (Ala),16.6,4.2,4.4,33.0,60.8,56.66,100.0
Devin Booker (Armador),30.8,3.0,5.8,38.2,49.980000000000004,22.84,85.48
