Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Jayson Tatum (Ala / Armador),23.6,8.4,6.6,33.4,42.800000000000004,26.139999999999997,83.14
Shai Gilgeous-Alexander (Armador),28.2,4.0,8.0,31.6,48.8,47.059999999999995,65.0
