Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Chris Paul (Armador),10.6,3.8,7.0,28.8,46.760000000000005,22.58,33.34
Stephon Castle (Armador),18.8,8.0,7.8,32.8,48.419999999999995,34.0,75.56
