estatística,média,mediana,desvio_padrão,consistência
Pontos,28.6,25.0,10.92,Baixa 🔴
Rebotes,4.4,3.0,3.36,Média 🟡
Assistências,2.4,2.0,1.14,Alta 🟢
Roubos de Bola,0.6,1.0,0.55,Alta 🟢
Tocos,0.0,0.0,0.0,Alta 🟢
Aproveitamento de Arremessos,0.52,0.47,0.13,Alta 🟢
Cestas de 3 pontos,5.0,4.0,2.45,Média 🟡
Minutos Jogados,38.6,38.0,4.93,Baixa 🔴
