estatística,média,mediana,desvio_padrão,consistência
Pontos,11.4,14.0,5.94,Baixa 🔴
Rebotes,3.2,4.0,1.92,Alta 🟢
Assistências,4.0,4.0,1.41,Alta 🟢
Roubos de Bola,0.8,1.0,0.84,Alta 🟢
Tocos,0.2,0.0,0.45,Alta 🟢
Aproveitamento de Arremessos,0.4,0.44,0.19,Alta 🟢
Cestas de 3 pontos,0.6,1.0,0.55,Alta 🟢
Minutos Jogados,22.2,23.0,3.83,Média 🟡
