estatística,média,mediana,desvio_padrão,consistência
Pontos,23.6,25.0,4.77,Baixa 🔴
Rebotes,8.4,8.0,4.04,Baixa 🔴
Assistências,6.6,8.0,2.61,Média 🟡
Roubos de Bola,0.4,0.0,0.55,Alta 🟢
Tocos,0.6,1.0,0.55,Alta 🟢
Aproveitamento de Arremessos,0.43,0.46,0.12,Alta 🟢
Cestas de 3 pontos,2.4,2.0,1.52,Alta 🟢
Minutos Jogados,33.4,35.0,4.67,Baixa 🔴
