Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Zach LaVine (Armador),28.6,4.4,2.4,38.6,52.22,54.39999999999999,72.14
Nikola Jokić (Pivô),40.2,12.2,9.6,39.8,60.3,41.78,77.25999999999999
