estatística,média,mediana,desvio_padrão,consistência
Pontos,40.2,39.0,12.85,Baixa 🔴
Rebotes,12.2,12.0,2.28,Média 🟡
Assistências,9.6,10.0,2.51,Média 🟡
Roubos de Bola,2.0,2.0,1.41,Alta 🟢
Tocos,0.2,0.0,0.45,Alta 🟢
Aproveitamento de Arremessos,0.6,0.62,0.12,Alta 🟢
Cestas de 3 pontos,3.4,3.0,1.82,Alta 🟢
Minutos Jogados,39.8,38.0,7.85,Baixa 🔴
