Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Klay Thompson (Armador),13.2,1.8,1.4,25.0,43.059999999999995,36.120000000000005,20.0
Kai Jones (Pivô / Ala),10.2,4.6,1.4,18.4,85.83999999999999,0.0,50.0
