estatística,média,mediana,desvio_padrão,consistência
Pontos,21.0,24.0,9.0,Baixa 🔴
Rebotes,3.4,4.0,1.82,Alta 🟢
Assistências,5.8,7.0,2.68,Média 🟡
Roubos de Bola,1.8,2.0,0.45,Alta 🟢
Tocos,0.4,0.0,0.55,Alta 🟢
Aproveitamento de Arremessos,0.58,0.6,0.05,Alta 🟢
Cestas de 3 pontos,0.8,1.0,0.84,Alta 🟢
Minutos Jogados,33.4,33.0,10.53,Baixa 🔴
