estatística,média,mediana,desvio_padrão,consistência
Pontos,13.2,14.0,4.49,Baixa 🔴
Rebotes,4.4,4.0,1.14,Alta 🟢
Assistências,1.2,2.0,1.1,Alta 🟢
Roubos de Bola,0.2,0.0,0.45,Alta 🟢
Tocos,0.4,0.0,0.55,Alta 🟢
Aproveitamento de Arremessos,0.48,0.5,0.08,Alta 🟢
Cestas de 3 pontos,2.8,2.0,1.3,Alta 🟢
Minutos Jogados,27.8,28.0,4.92,Baixa 🔴
