estatística,média,mediana,desvio_padrão,consistência
Pontos,21.6,25.0,13.16,Baixa 🔴
Rebotes,5.4,5.0,3.05,Média 🟡
Assistências,5.6,6.0,1.82,Alta 🟢
Roubos de Bola,1.0,1.0,1.0,Alta 🟢
Tocos,0.4,0.0,0.55,Alta 🟢
Aproveitamento de Arremessos,0.41,0.5,0.18,Alta 🟢
Cestas de 3 pontos,3.6,3.0,2.41,Média 🟡
Minutos Jogados,32.2,33.0,5.54,Baixa 🔴
