estatística,média,mediana,desvio_padrão,consistência
Pontos,10.6,9.0,6.15,Baixa 🔴
Rebotes,5.2,7.0,3.9,Média 🟡
Assistências,2.2,3.0,1.64,Alta 🟢
Roubos de Bola,0.4,0.0,0.55,Alta 🟢
Tocos,0.2,0.0,0.45,Alta 🟢
Aproveitamento de Arremessos,0.48,0.5,0.1,Alta 🟢
Cestas de 3 pontos,0.4,0.0,0.55,Alta 🟢
Minutos Jogados,18.4,19.0,6.99,Baixa 🔴
