Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Ben Simmons (Armador / Ala),1.6,3.6,3.0,15.4,38.34,0.0,0.0
Ivica Zubac (Pivô),17.6,13.2,3.4,32.6,67.58000000000001,0.0,62.660000000000004
