estatística,média,mediana,desvio_padrão,consistência
Pontos,17.6,17.0,4.51,Baixa 🔴
Rebotes,13.2,13.0,4.09,Baixa 🔴
Assistências,3.4,2.0,1.95,Alta 🟢
Roubos de Bola,0.2,0.0,0.45,Alta 🟢
Tocos,0.8,1.0,0.84,Alta 🟢
Aproveitamento de Arremessos,0.68,0.7,0.23,Alta 🟢
Cestas de 3 pontos,0.0,0.0,0.0,Alta 🟢
Minutos Jogados,32.6,33.0,5.03,Baixa 🔴
