estatística,média,mediana,desvio_padrão,consistência
Pontos,29.0,30.0,7.97,Baixa 🔴
Rebotes,5.8,6.0,1.92,Alta 🟢
Assistências,5.8,6.0,0.84,Alta 🟢
Roubos de Bola,1.2,0.0,1.79,Alta 🟢
Tocos,0.4,0.0,0.55,Alta 🟢
Aproveitamento de Arremessos,0.49,0.48,0.09,Alta 🟢
Cestas de 3 pontos,3.6,4.0,2.3,Média 🟡
Minutos Jogados,34.6,36.0,3.36,Média 🟡
