estatística,média,mediana,desvio_padrão,consistência
Pontos,12.2,15.0,9.73,Baixa 🔴
Rebotes,2.2,2.0,1.48,Alta 🟢
Assistências,2.4,2.0,1.82,Alta 🟢
Roubos de Bola,1.8,1.0,1.64,Alta 🟢
Tocos,0.6,0.0,0.89,Alta 🟢
Aproveitamento de Arremessos,0.39,0.42,0.25,Alta 🟢
Cestas de 3 pontos,0.8,0.0,1.79,Alta 🟢
Minutos Jogados,27.6,30.0,7.7,Baixa 🔴
