estatística,média,mediana,desvio_padrão,consistência
Pontos,10.2,9.0,6.38,Baixa 🔴
Rebotes,4.6,5.0,2.61,Média 🟡
Assistências,1.4,2.0,1.34,Alta 🟢
Roubos de Bola,1.2,1.0,1.64,Alta 🟢
Tocos,1.0,0.0,1.41,Alta 🟢
Aproveitamento de Arremessos,0.86,0.88,0.15,Alta 🟢
Cestas de 3 pontos,0.0,0.0,0.0,Alta 🟢
Minutos Jogados,18.4,21.0,10.64,Baixa 🔴
