estatística,média,mediana,desvio_padrão,consistência
Pontos,9.2,7.0,6.14,Baixa 🔴
Rebotes,1.6,1.0,1.52,Alta 🟢
Assistências,1.0,1.0,1.0,Alta 🟢
Roubos de Bola,0.6,0.0,0.89,Alta 🟢
Tocos,0.2,0.0,0.45,Alta 🟢
Aproveitamento de Arremessos,0.4,0.38,0.12,Alta 🟢
Cestas de 3 pontos,2.4,2.0,2.07,Média 🟡
Minutos Jogados,22.8,25.0,6.72,Baixa 🔴
