estatística,média,mediana,desvio_padrão,consistência
Pontos,28.2,27.0,4.76,Baixa 🔴
Rebotes,4.0,4.0,2.74,Média 🟡
Assistências,8.0,8.0,3.24,Média 🟡
Roubos de Bola,1.6,1.0,1.34,Alta 🟢
Tocos,1.0,1.0,1.0,Alta 🟢
Aproveitamento de Arremessos,0.49,0.46,0.1,Alta 🟢
Cestas de 3 pontos,2.0,2.0,0.71,Alta 🟢
Minutos Jogados,31.6,31.0,3.44,Média 🟡
