estatística,média,mediana,desvio_padrão,consistência
Pontos,21.6,26.0,8.38,Baixa 🔴
Rebotes,6.6,6.0,1.34,Alta 🟢
Assistências,4.4,5.0,2.07,Média 🟡
Roubos de Bola,1.0,1.0,0.71,Alta 🟢
Tocos,0.0,0.0,0.0,Alta 🟢
Aproveitamento de Arremessos,0.54,0.59,0.11,Alta 🟢
Cestas de 3 pontos,4.6,4.0,3.13,Média 🟡
Minutos Jogados,31.6,31.0,4.28,Baixa 🔴
