estatística,média,mediana,desvio_padrão,consistência
Pontos,1.6,2.0,1.67,Alta 🟢
Rebotes,3.6,3.0,3.36,Média 🟡
Assistências,3.0,3.0,1.22,Alta 🟢
Roubos de Bola,0.4,0.0,0.55,Alta 🟢
Tocos,0.0,0.0,0.0,Alta 🟢
Aproveitamento de Arremessos,0.38,0.25,0.44,Alta 🟢
Cestas de 3 pontos,0.0,0.0,0.0,Alta 🟢
Minutos Jogados,15.4,16.0,3.44,Média 🟡
