estatística,média,mediana,desvio_padrão,consistência
Pontos,18.8,19.0,3.27,Média 🟡
Rebotes,8.0,8.0,5.0,Baixa 🔴
Assistências,7.8,8.0,2.39,Média 🟡
Roubos de Bola,0.4,0.0,0.55,Alta 🟢
Tocos,0.6,0.0,0.89,Alta 🟢
Aproveitamento de Arremessos,0.48,0.46,0.14,Alta 🟢
Cestas de 3 pontos,1.2,1.0,0.45,Alta 🟢
Minutos Jogados,32.8,33.0,1.48,Alta 🟢
