Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Brandin Podziemski (Armador),21.6,6.6,4.4,31.6,54.39999999999999,50.440000000000005,60.0
Jonathan Kuminga (Ala),10.6,5.2,2.2,18.4,48.31999999999999,11.66,47.0
