Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Russell Westbrook (Armador),16.0,5.6,5.2,29.2,44.519999999999996,29.32,59.08
Luka Dončić (Ala / Armador),29.0,5.8,5.8,34.6,48.74000000000001,39.019999999999996,85.48
