Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Pelle Larsson (Armador),9.8,4.0,3.4,29.6,42.14000000000001,30.020000000000003,47.14
Kel'el Ware (Pivô),10.4,10.8,0.6,28.6,50.7,10.0,50.0
