estatística,média,mediana,desvio_padrão,consistência
Pontos,9.8,12.0,6.38,Baixa 🔴
Rebotes,4.0,4.0,1.87,Alta 🟢
Assistências,3.4,3.0,1.14,Alta 🟢
Roubos de Bola,1.8,1.0,1.64,Alta 🟢
Tocos,0.2,0.0,0.45,Alta 🟢
Aproveitamento de Arremessos,0.42,0.44,0.21,Alta 🟢
Cestas de 3 pontos,1.0,1.0,1.0,Alta 🟢
Minutos Jogados,29.6,30.0,6.02,Baixa 🔴
