estatística,média,mediana,desvio_padrão,consistência
Pontos,10.4,7.0,5.55,Baixa 🔴
Rebotes,10.8,11.0,5.31,Baixa 🔴
Assistências,0.6,0.0,0.89,Alta 🟢
Roubos de Bola,0.4,0.0,0.55,Alta 🟢
Tocos,1.0,1.0,1.22,Alta 🟢
Aproveitamento de Arremessos,0.51,0.5,0.15,Alta 🟢
Cestas de 3 pontos,0.4,0.0,0.89,Alta 🟢
Minutos Jogados,28.6,32.0,7.57,Baixa 🔴
