Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Bradley Beal (Armador),12.2,2.2,2.4,27.6,39.06,11.42,36.66
Stephen Curry (Armador),28.2,4.0,6.6,32.4,40.67999999999999,41.120000000000005,78.58000000000001
