Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Julian Champagnie (Ala),13.2,4.4,1.2,27.8,47.58,44.13999999999999,50.0
James Harden (Armador),21.4,4.4,8.4,34.0,44.00000000000001,23.34,87.78
