estatística,média,mediana,desvio_padrão
PTS,26.91,26.5,7.65
REB,8.69,8.0,3.07
AST,5.97,6.0,2.65
STL,1.07,1.0,1.04
BLK,0.53,0.0,0.72
FG_PCT,0.45,0.45,0.1
FG3M,3.47,3.5,1.79
MIN,36.33,37.0,4.12
