Nome do Jogador,Pontos,Rebotes,Assistências,Minutos,FG%,3P%,FT%
Jayson Tatum,26.914285714285715,8.685714285714285,5.9714285714285715,36.32857142857143,44.802857142857135,34.14,83.15285714285713
Shai Gilgeous-Alexander,32.56,4.973333333333334,6.4,34.12,52.464,39.628,89.156
